Store Name,Ownership Type,City,Country,Longitude,Latitude
Reel Cinema,Licensed,Dubai,AE,55.6,24.78
Dubai Airport Concourse 3,Licensed,Dubai,AE,55.35,25.25
City Walk - Dubai,Licensed,Dubai,AE,55.31,25.27
DIFC 2,Licensed,Dubai,AE,55.16,25.1
The Residence Tower 1,Licensed,Dubai,AE,55.27,25.19
Emirates Tower,Licensed,Dubai,AE,55.28,25.21
Dubai Marina,Licensed,Dubai,AE,55.15,25.08
Dubai Airport - Concourse D West,Licensed,Dubai,AE,55.35,25.25
Mall of the Emirates - Ski #2,Licensed,Dubai,AE,55.2,25.12
Bin Sougat,Licensed,Dubai,AE,55.4,25.23
Old Town Amenity Building,Licensed,Dubai,AE,55.28,25.19
Atlantis,Licensed,Dubai,AE,55.12,25.13
Jumeirah Beach Road,Licensed,Dubai,AE,55.14,25.08
Oasis Centre,Licensed,Dubai,AE,55.24,25.17
Jumeirah Beach Residence 3 P24a,Licensed,Dubai,AE,55.13,25.07
Dubai Airport T1 Landside Departure,Licensed,Dubai,AE,55.31,25.27
Old Town Commercial Island,Licensed,Dubai,AE,55.28,25.19
Al Gurrair Mall,Licensed,Dubai,AE,55.32,25.27
Jumeirah Beach Residence 6 GM10,Licensed,Dubai,AE,55.13,25.07
Atlantis The Avenues,Licensed,Dubai,AE,55.12,25.13
Jumeirah Villa,Licensed,Dubai,AE,55.23,25.19
Mercato Town Centre,Licensed,Dubai,AE,55.25,25.22
Emaar Business Park,Licensed,Dubai,AE,55.17,25.1
DBX - Term 2 Landside,Licensed,Dubai,AE,55.31,25.27
DED,Licensed,Dubai,AE,55.33,25.26
Burj Dubai Business Park,Licensed,Dubai,AE,55.27,25.2
Motor City,Licensed,Dubai,AE,55.24,25.05
ENOC 1001,Licensed,Dubai,AE,55.35,25.27
Riverland,Licensed,Dubai,AE,55.19,25.11
Me'Aissem City Center,Licensed,Dubai,AE,55.19,25.03
Etihad Mall,Licensed,Dubai,AE,55.42,25.23
Park Place Showmax,Licensed,Dubai,AE,55.24,25.2
Arabian Centre,Licensed,Dubai,AE,55.46,25.26
Dubai Airport - Concourse D East,Licensed,Dubai,AE,55.35,25.25
Gardens 3,Licensed,Dubai,AE,55.12,25.04
Dubai Mall LG 118,Licensed,Dubai,AE,55.28,25.2
Deira City Center 4,Licensed,Dubai,AE,55.33,25.25
Sahara Tower,Licensed,Dubai,AE,55,24.92
Shindagha Centre,Licensed,Dubai,AE,55.28,25.24
Dubai Academic City,Licensed,Dubai,AE,55.42,25.13
Madina Jumeirah,Licensed,Dubai,AE,55.19,25.13
21st Century Tower,Licensed,Dubai,AE,55.28,25.21
Gardens 2,Licensed,Dubai,AE,55.12,25.05
Mirdif City Center - Central Atrium,Licensed,Dubai,AE,55.41,25.22
Health Care City Dubai,Licensed,Dubai,AE,55.33,25.23
Dubai Mall G 223,Licensed,Dubai,AE,55.28,25.2
Wafi Mall,Licensed,Dubai,AE,55.28,25.25
Dubai Mall 4,Licensed,Dubai,AE,55.44,25.04
Uptown Mirdif,Licensed,Dubai,AE,55.43,25.23
Deira City Center Mall,Licensed,Dubai,AE,55.33,25.25
Palm Strip,Licensed,Dubai,AE,55.26,25.23
Starbuck Box Park,Licensed,Dubai,AE,55.27,25.23
JBR 1 Rimal Plaza,Licensed,Dubai,AE,55.13,25.07
Dubai Festival City,Licensed,Dubai,AE,55.31,25.27
Al Ghadeer Tower,Licensed,Dubai,AE,55.28,25.22
Jebel Ali,Licensed,Dubai,AE,55.09,24.99
MoE Level 2 Extension,Licensed,Dubai,AE,55.2,25.12
Borders  Mall of the Emirates,Licensed,Dubai,AE,55.2,25.12
Movenpick,Licensed,Dubai,AE,55.31,25.23
Dubai Marina Mall,Licensed,Dubai,AE,55.14,25.08
Mudon,Licensed,Dubai,AE,55.31,25.27
JBR 2 Rimal Marina,Licensed,Dubai,AE,55.14,25.08
Jumeirah Beach Residence 4 GM09,Licensed,Dubai,AE,55.14,25.08
Starbucks - Boulevard Plaza,Licensed,Dubai,AE,55.16,25.11
DBX - Dubai Airport Terminal 3 C201,Licensed,Dubai,AE,55.35,25.25
DBX - Dubai Airport Terminal 3 C207,Licensed,Dubai,AE,55.35,25.25
Gardens 1,Licensed,Dubai,AE,55.12,25.04
Outlet Village,Licensed,Dubai,AE,55,24.54
ENOC 1009 DT,Licensed,Dubai,AE,55.27,25.2
Burjuman Centre II,Licensed,Dubai,AE,55.3,25.25
Al Barsha Coop,Licensed,Dubai,AE,55.21,25.1
Spinney's Silicon Oasis,Licensed,Dubai,AE,55.4,25.13
Carrefour Green Community,Licensed,Dubai,AE,55.38,25.11
World Trade Centre,Licensed,Dubai,AE,55.33,25.29
Emaar Town Center,Licensed,Dubai,AE,55.17,25.05
Knowledge Village,Licensed,Dubai,AE,55.16,25.1
Bay Avenue - Business Bay,Licensed,Dubai,AE,55.16,25.11
Fujairah City Centre,Licensed,Fujairah,AE,56.3,25.13
LuLu Fujairah,Licensed,Fujairah,AE,56.33,25.12
Al Hamra Mall,Licensed,Ras Al Khaimah,AE,55.78,25.68
Al Manar Mall -,Licensed,Ras Al Khaimah,AE,55.97,25.79
Safeer Mall,Licensed,Ras Al Khaimah,AE,55.92,25.75
Sharjah Corniche,Licensed,Sharjah,AE,55.39,25.35
Mega Mall,Licensed,Sharjah,AE,55.4,25.35
Bukhatir Tower,Licensed,Sharjah,AE,55.38,25.33
Qanat Al Qasba,Licensed,Sharjah,AE,55.38,25.32
Sahara Center,Licensed,Sharjah,AE,55.37,25.3
American University of Sharjah,Licensed,Sharjah,AE,55.48,25.3
UAQ Drive Thru,Licensed,Umm Al Quwain,AE,55.54,25.53
Alto Avelleneda,Licensed,Avellaneda,AR,-58.37,-34.68
Soleil,Licensed,Boulogne,AR,-57.87,-34.88
Arevalo,Licensed,Buenos Aires,AR,-58.44,-34.58
Terrazas de Mayo,Licensed,Buenos Aires,AR,-58.7,-34.53
San Isidro,Licensed,Buenos Aires,AR,-58.51,-34.47
Alvear,Licensed,Buenos Aires,AR,-58.5,-34.49
Plaza Barrientos,Licensed,Caba,AR,-58.4,-34.59
Bellini,Licensed,Caba,AR,-58.38,-34.6
Ezeiza,Licensed,Ezeiza,AR,-58.53,-34.8
Martinez,Licensed,Martinez,AR,-58.49,-34.48
Unicenter Shopping,Licensed,Martinez,AR,-58.52,-34.51
Plaza Oeste,Licensed,Moron,AR,-58.65,-34.63
Champagnat,Licensed,Pilar,AR,-58.92,-34.45
Las Palmas,Licensed,Pilar,AR,-60.22,-33.39
Austral,Licensed,Pilar,AR,-58.86,-34.46
Quilmes,Licensed,Quilmes,AR,-58.26,-34.72
Segundo Fernandez,Licensed,San Isidro,AR,-58.55,-34.49
San Justo,Licensed,San Justo,AR,-58.56,-34.69
Nordelta,Licensed,Tigre,AR,-58.66,-34.4
Buenos Aires Mall,Licensed,Tortuguitas,AR,-58.73,-34.45
Maipu,Licensed,Vicente Lopez,AR,-58.47,-34.53
Jean Jaures,Licensed,Buenos Aires,AR,-58.41,-34.6
Maure,Licensed,Buenos Aires,AR,-58.44,-34.57
Ayacucho,Licensed,Buenos Aires,AR,-58.4,-34.6
Honduras,Licensed,Buenos Aires,AR,-58.44,-34.58
Juana Azurduy,Licensed,Buenos Aires,AR,-58.47,-34.55
Cabildo,Licensed,Buenos Aires,AR,-58.46,-34.56
Rodriguez Pena,Licensed,Buenos Aires,AR,-58.39,-34.6
Gran Rex,Licensed,Buenos Aires,AR,-58.38,-34.6
Paseo de la Infanta,Licensed,Buenos Aires,AR,-58.42,-34.57
Galeria guemes,Licensed,Buenos Aires,AR,-58.37,-34.61
Roosvelt,Licensed,Buenos Aires,AR,-58.46,-34.56
Malabia,Licensed,Buenos Aires,AR,-58.43,-34.59
Plaza Serrano,Joint Venture,Buenos Aires,AR,-58.42,-34.57
Edificio Pirelli,Licensed,Buenos Aires,AR,-58.38,-34.59
Arcos,Licensed,Buenos Aires,AR,-58.43,-34.58
Congreso,Licensed,Buenos Aires,AR,-58.38,-34.61
Federico Lacroze,Licensed,Buenos Aires,AR,-58.44,-34.57
Callao y Santa Fe,Licensed,Buenos Aires,AR,-58.39,-34.6
Galerias -Cordoba,Licensed,Buenos Aires,AR,-58.38,-34.6
Los Molinos,Licensed,Buenos Aires,AR,-58.36,-34.61
DOT Planta Baja,Licensed,Buenos Aires,AR,-58.49,-34.55
Elcano,Licensed,Buenos Aires,AR,-58.46,-34.57
Conquistador,Licensed,Buenos Aires,AR,-58.37,-34.6
Florida Plaza,Licensed,Buenos Aires,AR,-58.38,-34.6
Alto Palermo,Licensed,Buenos Aires,AR,-58.41,-34.59
Viamonte,Licensed,Buenos Aires,AR,-58.39,-34.6
Paseo Alcorta,Licensed,Buenos Aires,AR,-58.4,-34.58
Yatch V,Licensed,Buenos Aires,AR,-58.36,-34.6
Pampa,Licensed,Buenos Aires,AR,-58.45,-34.56
Avenida de Mayo,Licensed,Buenos Aires,AR,-58.38,-34.61
Edificio Republica,Licensed,Buenos Aires,AR,-58.37,-34.6
Edificio Intercontinental,Licensed,Buenos Aires,AR,-58.38,-34.61
UCA,Licensed,Buenos Aires,AR,-58.37,-34.61
Recoleta Mall,Licensed,Buenos Aires,AR,-58.39,-34.59
UADE II,Licensed,Buenos Aires,AR,-58.38,-34.62
Parque Rivadavia,Licensed,Buenos Aires,AR,-58.43,-34.62
Avenida La Plata,Licensed,Buenos Aires,AR,-58.43,-34.62
Tribunales,Licensed,Buenos Aires,AR,-58.39,-34.6
Portal Palermo,Licensed,Buenos Aires,AR,-58.43,-34.58
Devoto Shopping,Licensed,Buenos Aires,AR,-58.52,-34.61
Castex,Licensed,Buenos Aires,AR,-58.41,-34.58
Huidobro,Licensed,Buenos Aires,AR,-58.47,-34.54
Abasto Shopping Center,Licensed,Buenos Aires,AR,-58.41,-34.6
Callao - Buenos Aires,Licensed,Buenos Aires,AR,-58.39,-34.6
BIND,Licensed,Buenos Aires,AR,-58.37,-34.6
Edificio Bank Boston,Licensed,Buenos Aires,AR,-58.37,-34.6
UADE,Licensed,Buenos Aires,AR,-58.38,-34.62
Ramos Mejia,Licensed,Buenos Aires,AR,-58.57,-34.64
San Telmo,Licensed,Buenos Aires,AR,-58.37,-34.62
Mansilla,Licensed,Buenos Aires,AR,-58.41,-34.59
Florida 1,Licensed,Buenos Aires,AR,-58.37,-34.61
Austria,Licensed,Buenos Aires,AR,-58.4,-34.58
BA design,Licensed,Buenos Aires,AR,-58.39,-34.59
Reconquista,Licensed,Buenos Aires,AR,-58.37,-34.6
Cabello,Licensed,Buenos Aires,AR,-58.41,-34.58
Alliance,Licensed,Buenos Aires,AR,-58.38,-34.6
Olleros,Licensed,Buenos Aires,AR,-58.44,-34.57
Clinicas,Licensed,Buenos Aires,AR,-58.4,-34.6
Peru.,Licensed,Buenos Aires,AR,-58.37,-34.61
Defensores,Licensed,Buenos Aires,AR,-58.46,-34.54
Julian Alvarez,Licensed,Buenos Aires,AR,-58.41,-34.59
Abasto 2,Licensed,Buenos Aires,AR,-58.41,-34.6
Triunvirato,Licensed,Buenos Aires,AR,-58.48,-34.58
Pueyrredon,Licensed,Buenos Aires,AR,-58.4,-34.59
Lomitas,Licensed,Buenos Aires,AR,-58.4,-34.77
Panamericano,Licensed,Buenos Aires,AR,-58.49,-34.55
Caesar Park,Licensed,Buenos Aires,AR,-58.38,-34.6
Villa Crespo,Licensed,Buenos Aires,AR,-58.44,-34.6
Talcahuano,Licensed,Buenos Aires,AR,-58.39,-34.6
Migueletes,Licensed,Buenos Aires,AR,-58.44,-34.57
Village Caballito,Licensed,Caba,AR,-58.44,-34.62
Olazabal,Licensed,Caba,AR,-58.45,-34.55
Galerias II,Licensed,Caba,AR,-58.37,-34.6
La Barraca,Licensed,Mendoza,AR,-68.84,-32.89
Plaza Espana Mendoza,Licensed,Mendoza,AR,-68.84,-32.88
Mendoza Plaza Shopping,Licensed,Mendoza,AR,-68.78,-32.9
Espejo,Licensed,Mendoza,AR,-68.84,-32.89
Palmares Open Mall,Licensed,Mendoza,AR,-68.83,-32.92
Boulevard Orono.,Licensed,Rosario,AR,-60.65,-32.94
Alto Rosario,Licensed,Rosario,AR,-60.67,-32.93
Paseo del Siglo,Licensed,Santa Fe,AR,-60.7,-32.96
Buen Pastor,Licensed,Cordoba,AR,-64.31,-31.32
Estrada,Licensed,Cordoba,AR,-64.2,-31.44
Canada,Licensed,Cordoba,AR,-64.19,-31.41
Dinosaurio Mall,Licensed,Cordoba,AR,-64.24,-31.36
Nuevocentro,Licensed,Cordoba,AR,-64.2,-31.41
Cordoba Shopping,Licensed,Cordoba,AR,-64.2,-31.44
SCS,Company Owned,Vosendorf,AT,16.32,48.11
Europark,Company Owned,Salzburg,AT,13.01,47.82
Hagenauerplatz,Company Owned,Salzburg,AT,13.04,47.8
Forum 1,Company Owned,Salzburg,AT,13.05,47.81
Vienna Airport - landside (Kiosk),Licensed,Schwechat,AT,16.56,48.13
Neubaugasse,Company Owned,Wien,AT,16.35,48.2
Millennium City,Company Owned,Wien,AT,16.39,48.24
Hauptbahnhof Wien,Company Owned,Wien,AT,16.38,48.18
Braunerstrasse,Company Owned,Wien,AT,16.37,48.21
Michaelerplatz,Company Owned,Wien,AT,16.37,48.21
AKH Allgemeines Krankenhaus,Company Owned,Wien,AT,16.35,48.22
Mariahilfer Strasse,Company Owned,Wien,AT,16.36,48.2
Rotenturmstrasse,Company Owned,Wien,AT,16.38,48.21
Invalidenstrasse,Company Owned,Wien,AT,16.39,48.21
Donauzentrum,Company Owned,Wien,AT,16.43,48.24
Westbahnhof,Company Owned,Wien,AT,16.34,48.2
Schottengasse,Company Owned,Wien,AT,16.36,48.21
Karlsplatzpassage,Company Owned,Wien,AT,16.37,48.2
Manly,Licensed,Manly,AU,151.29,-33.8
Mount Druitt,Licensed,Mt Druitt,AU,150.82,-33.77
Westfield Parramatta,Licensed,Parramatta,AU,151,-33.82
Haymarket,Licensed,Sydney,AU,151.21,-33.88
Queen Victoria Building,Licensed,Sydney,AU,151.21,-33.87
Wynyard Green,Licensed,Sydney,AU,151.21,-33.87
Hyde park,Licensed,Sydney,AU,151.21,-33.87
525 George Street,Licensed,Sydney,AU,151.21,-33.88
Westmead Childrens Hospital,Licensed,Westmead,AU,150.99,-33.8
Queens Plaza,Licensed,Brisbane,AU,153.03,-27.47
Myer Centre,Licensed,Brisbane,AU,153.02,-27.47
Broadbeach,Licensed,Broadbeach,AU,153.43,-28.03
Westfield Chermside,Licensed,Chermside,AU,153.03,-27.39
Cavill Avenue,Licensed,Gold Coast,AU,153.43,-28.01
Chevron Renaissance,Licensed,Surfers Paradise,AU,153.43,-28.02
Garden City - Upper Mt Gravatt,Licensed,Upper Mt Gravatt,AU,153.09,-27.54
Princess Alexandra Hospital,Licensed,Wooloongabba,AU,153.03,-27.5
235 Bourke Street,Licensed,Melbourne,AU,144.97,-37.81
2 Elizabeth Street,Licensed,Melbourne,AU,144.97,-37.82
DFO Spencer Street,Licensed,Melbourne,AU,144.95,-37.82
Swanston Street,Licensed,Melbourne,AU,144.97,-37.81
Galleria - Melbourne,Licensed,Melbourne,AU,144.96,-37.81
Paseo Herencia,Licensed,Noord,AW,-70.04,12.57
Renaissance Seaport Marketplace,Licensed,Oranjestad,AW,-70.04,12.52
Renaissance Mall - Aruba,Licensed,Oranjestad,AW,-70.04,12.52
Mall 28,Licensed,Baku,AZ,49.85,40.38
Port Baku,Licensed,Baku,AZ,49.86,40.38
Ganjlik Mall,Licensed,Narimonov,AZ,49.85,40.4
TARGOVI,Licensed,Baku,AZ,48.9,39.95
Brussels Schuman Metro Station,Licensed,Brussels,BE,4.38,50.84
Brussels Louise Metro Station,Licensed,Brussels,BE,4.35,50.83
Brussels - Gare du Midi (M),Licensed,Brussels,BE,4.33,50.83
Brussels Metro Station,Licensed,Brussels,BE,4.41,50.84
Antwerp Groenplaats,Licensed,Antwerp,BE,4.4,51.22
Brussel Grand Place,Licensed,Brussels,BE,4.36,50.84
Rogier Subway Station,Licensed,Brussels,BE,4.36,50.85
Antwerp Centraal Railway Station,Licensed,Antwerp,BE,4.42,51.22
Bruges Railway Station,Licensed,Brugges,BE,3.19,51.27
Brussels (CS),Licensed,Brussels,BE,4.36,50.85
Gent Sint Pieters Station,Licensed,Gent,BE,3.72,51.04
Gent Korenmarkt,Licensed,Gent,BE,3.72,51.05
Leuven Railway Station,Licensed,Leuven,BE,4.71,50.88
Brussels North Station,Licensed,Schaerbeek,BE,4.36,50.86
Brussels Airport Depart. Hall,Licensed,Zaventem,BE,4.49,50.9
Brussels Airport Concourse A,Licensed,Zaventem,BE,4.48,50.87
Brussels Airport Concourse B,Licensed,Zaventem,BE,4.48,50.9
Liege Guillemins Station,Licensed,Liege,BE,5.57,50.63
Gare de Namur,Licensed,Namur,BE,4.86,50.47
Burgas Plaza Mall,Licensed,Burgas,BG,25.62,42.42
Hermes Park,Licensed,Sofia,BG,23.43,42.64
Paradise Mall,Licensed,Sofia,BG,23.32,42.66
Sofia Gurko,Licensed,Sofia,BG,23.32,42.7
Nansen and Levski,Licensed,Sofia,BG,23.32,42.69
The Courtyard,Licensed,Bahrain,BH,50.52,26.21
Saar Mall,Licensed,Manama,BH,50.59,26.23
"Enma Mall, Riffa",Licensed,Manama,BH,50.6,26.2
Cypress Garden,Licensed,Manama,BH,50.58,26.22
Nakheel Centre,Licensed,Manama,BH,50.57,26.21
El Mercado,Licensed,Manama,BH,50.55,26.22
Oasis Centre East Riffa,Licensed,Manama,BH,50.59,26.23
Marriott Juffair,Licensed,Manama,BH,50.6,26.22
ستراند بلازا,Licensed,البحرين,BH,50.61,26.21
مجمع البحرين,Licensed,البحرين,BH,50.54,26.23
باديز,Licensed,الزينج,BH,50.58,26.21
حديقة مركز الدبلوماسي,Licensed,المنامة,BH,50.59,26.24
"البحرين, سيتي سنتر",Licensed,المنامة,BH,50.55,26.23
مجمع السيف,Licensed,المنامة,BH,50.54,26.23
مركز المنامة,Licensed,المنامة,BH,50.58,26.24
"بحرين, سيتي سنتر, دبنهامز",Licensed,المنامة,BH,50.55,26.23
The Walk,Licensed,Al Riffa,BH,50.58,26.22
سند (يم يم),Licensed,سند,BH,50.58,26.14
Muharraq Mall,Licensed,Manama,BH,50.57,26.23
Lagoons Amwaj Island,Licensed,Muharraq,BH,50.61,26.25
مطار البحرين بوابة 16,Licensed,المنامة,BH,50.63,26.27
KUALA BELAIT,Licensed,Brunei,BN,114.4,4.3
Mabohai Shopping Mall,Licensed,Bandar Seri Begawan,BN,114.94,4.91
Mabohai Shopping Mall,Licensed,Bandar Seri Begawan,BN,114.94,4.91
Beribi Drive-Thru,Licensed,Brunei Muara District,BN,115,5
Jalan Tutong,Licensed,Mukim Kilanas,BN,114.73,4.77
La Salle - Santa Cruz,Licensed,Santa Cruz,BO,-63.19,-17.75
Velarde,Licensed,Santa Cruz,BO,-63.18,-17.8
Las Brisas,Licensed,Santa Cruz,BO,-63.18,-17.75
Ventura Mall,Licensed,Santa Cruz,BO,-63.2,-17.75
Rua Moreira César,Company Owned,Niteroi,BR,-43.11,-22.9
Plaza Niteroi Relo,Company Owned,Niteroi,BR,-43.12,-22.9
Plaza Niteroi 2,Company Owned,Niteroi,BR,-43.12,-22.9
Shopping da Gavea,Company Owned,Rio de Janeiro,BR,-43.23,-22.98
Aeroporto Galeao Mezanino,Company Owned,Rio de Janeiro,BR,-43.25,-22.81
Assembleia x Carmo,Company Owned,Rio de Janeiro,BR,-43.18,-22.9
Visconde de Piraja,Company Owned,Rio de Janeiro,BR,-43.2,-22.98
Ataulfo de Paiva 313,Company Owned,Rio de Janeiro,BR,-43.22,-22.98
Shopping Rio Sul,Company Owned,Rio de Janeiro,BR,-43.18,-22.96
Botafogo Praia Shopping,Company Owned,Rio de Janeiro,BR,-43.18,-22.95
Shopping Tijuca,Company Owned,Rio de Janeiro,BR,-43.24,-22.92
New York City Center,Company Owned,Rio de Janeiro,BR,-43.36,-23
Norte Shopping,Company Owned,Rio de Janeiro,BR,-43.28,-22.89
Shopping Nova America 2,Company Owned,Rio de Janeiro,BR,-43.27,-22.88
Goncalves Dias,Company Owned,Rio de Janeiro,BR,-43.18,-22.9
Cinema Odeon,Company Owned,Rio de Janeiro,BR,-43.18,-22.91
Miguel Couto,Company Owned,Rio de Janeiro,BR,-43.18,-22.9
Edificio Argentina,Company Owned,Rio de Janeiro,BR,-43.18,-22.94
Shopping Via Parque,Company Owned,Rio de Janeiro,BR,-43.36,-22.98
Downtown Shopping,Company Owned,Rio de Janeiro,BR,-43.32,-23
Nossa Senhora de Copacabana,Company Owned,Rio de Janeiro,BR,-43.19,-22.98
Shopping Leblon Kiosk,Company Owned,Rio de Janeiro,BR,-43.22,-22.98
Barra Shopping 3,Company Owned,Rio de Janeiro,BR,-43.36,-23
Shopping Plaza Sul,Company Owned,Atrium Térreo,BR,-46.63,-23.62
Shopping Tambore,Company Owned,Barueri,BR,-46.83,-23.5
Bauru Shopping,Company Owned,Bauru,BR,-49.05,-22.34
Parque D. Pedro Shopping,Company Owned,Campinas,BR,-47.06,-22.85
Campinas Shopping,Company Owned,Campinas,BR,-47.08,-22.93
Aer. Intl. Viracopos Desembarque,Company Owned,Campinas,BR,-47.14,-23.01
Aer. Intl. Viracopos Embarque,Company Owned,Campinas,BR,-47.15,-23.01
Cambui,Company Owned,Campinas,BR,-47.05,-22.9
Shopping Iguatemi Campinas,Company Owned,Campinas,BR,-47.03,-22.89
Galleria Shopping,Company Owned,Campinas,BR,-47.02,-22.86
Aero Intl GRU TermII Mezzanine,Company Owned,Guarulhos,BR,-46.49,-23.43
Aero Guarulhos Term II Sup Finger,Company Owned,Guarulhos,BR,-46.49,-23.43
Aeroporto Intl Guarulhos III,Company Owned,Guarulhos,BR,-46.48,-23.43
Shopping Intl de Guarulhos Kiosk,Company Owned,Guarulhos,BR,-46.55,-23.49
Parque Shopping Maia B,Company Owned,Guarulhos,BR,-46.54,-23.44
Aero Intl GRU TermII Praca,Company Owned,Guarulhos,BR,-46.48,-23.43
Shopping Piracicaba,Company Owned,Piracicaba,BR,-47.65,-22.7
Iguatemi Ribeirao Preto,Company Owned,Ribeirao Preto,BR,-47.87,-21.18
Ribeirao Shopping Store 2,Company Owned,Ribeirao Preto,BR,-47.82,-21.21
Ribeirao Shop Quiosque Expansao C&C,Company Owned,Ribeirao Preto,BR,-47.81,-21.21
Shopping ABC,Company Owned,Santo Andre,BR,-46.53,-23.67
Praiamar Shopping,Company Owned,Santos,BR,-46.31,-23.98
Sao Bernado Plaza Shopping,Company Owned,Sao Bernardo do Campo,BR,-46.54,-23.73
Shopping Metropole  Saraiva,Company Owned,Sao Bernardo do Campo,BR,-46.55,-23.69
Park Shopping São Caetano,Company Owned,Sao Caetano,BR,-46.58,-23.63
Colinas Shopping,Company Owned,Sao Jose do Campos,BR,-45.89,-23.19
Center Vale Shopping,Company Owned,Sao Jose do Campos,BR,-45.88,-23.2
Rio Preto Shopping,Company Owned,Sao Jose do Rio Preto,BR,-49.4,-20.84
Iguatemi Rio Preto,Company Owned,Sao Jose do Rio Preto,BR,-49.39,-20.84
Vale Sul 2,Company Owned,Sao Jose dos Campos,BR,-45.89,-23.22
Hospital Beneficencia Portuguesa,Company Owned,Sao Paulo,BR,-46.64,-23.57
Aeroporto de Congonhas Cafe,Company Owned,Sao Paulo,BR,-46.66,-23.63
Shopping Center 3,Company Owned,Sao Paulo,BR,-46.66,-23.56
CCP Shopping Cidade Sao Paulo,Company Owned,Sao Paulo,BR,-46.65,-23.56
"Pavao, 667",Company Owned,Sao Paulo,BR,-46.67,-23.61
Metro Santa Cruz Store 2,Company Owned,Sao Paulo,BR,-46.64,-23.6
Haddock Lobo,Company Owned,Sao Paulo,BR,-46.66,-23.56
Shopping Metrô Boulevard Tatuapé,Company Owned,Sao Paulo,BR,-46.58,-23.54
